nr_ano_referencia;nr_mes_referencia;sg_empresa_icao;sg_icao_origem;sg_icao_destino;sg_icao_retorno;cd_classe_ida;cd_classe_volta;nr_tarifa;nr_assentos
2025;7;AAL;SBGL;KDFW;9999;Y;;560.0;2
2025;7;AAL;SBGL;KJFK;9999;J;;2300.0;2
2025;7;AAL;SBGL;KJFK;9999;Y;;219.0;2
2025;7;AAL;SBGL;KJFK;9999;Y;;243.0;4
2025;7;AAL;SBGL;KJFK;9999;Y;;262.0;2
2025;7;AAL;SBGL;KJFK;9999;Y;;270.0;6
2025;7;AAL;SBGL;KJFK;9999;Y;;300.0;4
2025;7;AAL;SBGL;KJFK;9999;Y;;375.0;1
2025;7;AAL;SBGL;KJFK;SBGL;J;J;1596.0;2
2025;7;AAL;SBGL;KJFK;SBGL;J;J;1637.0;1
2025;7;AAL;SBGL;KJFK;SBGL;J;J;1646.0;2
2025;7;AAL;SBGL;KJFK;SBGL;J;J;1830.0;2
2025;7;AAL;SBGL;KJFK;SBGL;J;J;2095.0;2
2025;7;AAL;SBGL;KJFK;SBGL;J;J;2098.0;1
2025;7;AAL;SBGL;KJFK;SBGL;J;J;2422.0;1
2025;7;AAL;SBGL;KJFK;SBGL;J;J;2511.0;3
2025;7;AAL;SBGL;KJFK;SBGL;J;J;4610.0;1
2025;7;AAL;SBGL;KJFK;SBGL;J;J;5110.0;1
2025;7;AAL;SBGL;KJFK;SBGL;J;J;6525.0;2
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;437.0;1
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;460.0;7
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;486.0;2
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;489.0;1
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;500.0;2
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;540.0;8
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;635.0;2
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;636.0;1
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;650.0;2
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;670.0;4
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;676.0;16
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;679.0;1
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;698.0;2
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;702.0;3
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;705.0;2
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;717.0;1
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;720.0;2
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;726.0;1
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;732.0;1
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;734.0;1
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;740.0;3
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;743.0;1
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;752.0;4
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;785.0;2
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;790.0;1
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;801.0;1
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;833.0;1
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;843.0;2
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;878.0;2
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;930.0;1
2025;7;AAL;SBGL;KJFK;SBGL;Y;Y;1274.0;2
